Name,2006,2008,2010,2012,2014,2016,2018,2020,2022
Alabama,21.1,22,21.9,23.3,23.5,24.7,25.5,27.8,28.8
Alaska,26.9,27.3,27.9,28,28,29.6,30.2,31.9,30.6
Arizona,25.5,25.1,25.9,27.3,27.6,28.9,29.7,33,33
Arkansas,18.2,18.8,19.5,21,21.4,22.4,23.3,24.9,25.4
California,29,29.6,30.1,30.9,31.7,32.9,34.2,36.9,37
Colorado,34.3,35.6,36.4,37.5,38.3,39.9,41.7,44.2,45.9
Connecticut,33.7,35.6,35.5,37.1,38,38.6,39.6,42.4,41.9
Delaware,27,27.5,27.8,29.5,30.6,31,31.3,34.7,36.5
District of Columbia,45.9,48.2,50.1,53,55,56.8,60.4,63.6,65.4
Florida,25.3,25.8,25.8,26.8,27.3,28.6,30.4,33.7,34.3
Georgia,26.6,27.5,27.3,28.2,29.1,30.5,31.9,34.8,34.7
Hawaii,29.7,29.1,29.5,30.1,31,31.9,33.5,35.5,35.4
Idaho,23.3,24,24.4,25.5,25,27.6,27.7,30.9,32.3
Illinois,28.9,29.9,30.8,31.6,32.8,34,35.1,37.6,37.7
Indiana,21.7,22.9,22.7,23.4,24.7,25.6,27.1,28.9,29.6
Iowa,24,24.3,24.9,26.3,27.7,28.4,29,29.5,32.3
Kansas,28.6,29.6,29.8,30.4,31.5,32.8,33.8,35.1,35.6
Kentucky,20,19.7,20.5,21.8,22.2,23.4,24.8,27.4,27.9
Louisiana,20.3,20.3,21.4,22,22.9,23.4,24.3,27.2,27.1
Maine,25.8,25.4,26.8,28,29.4,30.1,31.5,33.5,36.1
Maryland,35.1,35.2,36.1,36.9,38.2,39.3,40.8,43.1,43.8
Massachusetts,37,38.1,39,39.3,41.2,42.7,44.5,46.9,46.6
Michigan,24.5,24.7,25.2,26,27.4,28.3,29.6,32.1,32.1
Minnesota,30.4,31.5,31.8,33.2,34.3,34.8,36.7,37.9,39.1
Mississippi,18.8,19.4,19.5,20.7,21.1,21.8,23.2,24.5,24.8
Missouri,24.3,25,25.6,26.4,27.5,28.5,29.5,31.9,32.2
Montana,27.4,27.1,28.8,29.4,29.3,31,31.7,34.6,34.6
Nebraska,26.9,27.1,28.6,29,29.5,31.4,32.4,33.3,34.7
Nevada,20.8,21.9,21.7,22.4,23.1,23.5,24.9,28,27
New Hampshire,31.9,33.3,32.8,34.6,35,36.6,36.8,40.2,41.3
New Jersey,33.4,34.4,35.4,36.2,37.4,38.6,40.8,43.1,43.5
New Mexico,25.3,24.7,25,26.1,26.4,27.2,27.7,30.1,30.5
New York,31.2,31.9,32.5,33.4,34.5,35.7,37.2,39.5,40
North Carolina,24.8,26.1,26.5,27.4,28.7,30.4,31.9,34.8,35.9
North Dakota,25.6,26.9,27.6,27.9,27.4,29.6,29.7,31.8,31.8
Ohio,23,24.1,24.6,25.2,26.6,27.5,29,30.6,32
Oklahoma,22.1,22.2,22.9,23.8,24.2,25.2,25.6,27,28.5
Oregon,27.5,28.1,28.8,29.9,30.8,32.7,34,36.3,36.3
Pennsylvania,25.4,26.3,27.1,27.8,29,30.8,31.8,34,35.1
Rhode Island,29.6,30,30.2,31.4,30.4,34.1,34.4,38,39.6
South Carolina,22.7,23.7,24.5,25.1,26.3,27.2,28.3,31.7,32.6
South Dakota,24.8,25.1,26.3,26.3,27.8,28.9,29.2,28.4,31.6
Tennessee,21.7,22.9,23.1,24.3,25.3,26.1,27.5,30.7,31.1
Texas,24.7,25.3,25.9,26.7,27.8,28.9,30.3,33.2,33.9
Utah,28.6,29.1,29.3,30.7,31.1,32.6,34.9,36.9,37.9
Vermont,32.4,32.1,33.6,35.8,34.9,36.4,38.7,42.1,44.2
Virginia,32.7,33.7,34.2,35.5,36.7,38.1,39.3,42,42.2
Washington,30.5,30.7,31.1,31.7,33.1,35.1,36.7,38.4,39.5
West Virginia,16.5,17.1,17.5,18.6,19.2,20.8,21.3,23.1,24.8
Wisconsin,25.1,25.7,26.3,27.1,28.4,29.5,30,31.8,33.2
Wyoming,22.7,23.6,24.1,24.7,26.6,27.1,26.9,28.2,29.6