,State,Year,YearsSince2000,PercentVotingEligibleVotes
1,Alaska,2000,0,68.67512425
2,Arizona,2000,0,46.44606533
4,California,2000,0,56.60501376
6,Connecticut,2000,0,62.52326963
9,Florida,2000,0,57.54808224
10,Georgia,2000,0,47.60831666
11,Hawaii,2000,0,44.570535719999995
12,Idaho,2000,0,58.88345874000001
13,Illinois,2000,0,58.48957617
14,Indiana,2000,0,50.75817378000001
16,Kansas,2000,0,56.67761093
17,Kentucky,2000,0,53.05329358
18,Louisiana,2000,0,56.74062308
20,Maryland,2000,0,55.79892871
21,Massachusetts,2000,0,60.57061110000001
22,Michigan,2000,0,60.52155782999999
23,Minnesota,2000,0,70.10838938
26,Montana,2000,0,62.60679375
27,Nebraska,2000,0,57.771255489999994
28,Nevada,2000,0,45.56516675
29,New Hampshire,2000,0,64.97212060999999
30,New Jersey,2000,0,58.791550130000005
31,New Mexico,2000,0,49.88355774
32,New York,2000,0,56.2205013
33,North Carolina,2000,0,52.504134140000005
34,North Dakota,2000,0,61.144051479999995
35,Ohio,2000,0,57.81370395
37,Oregon,2000,0,65.94542722
39,Rhode Island,2000,0,54.66064093000001
40,South Carolina,2000,0,48.68798496
41,South Dakota,2000,0,58.734762929999995
42,Tennessee,2000,0,50.450228630000005
43,Texas,2000,0,49.1644071
44,Utah,2000,0,54.80195129
45,Vermont,2000,0,64.71315885
46,Virginia,2000,0,55.03377709
47,Washington,2000,0,61.420228769999994
50,Wyoming,2000,0,61.395321790000004
51,Alabama,2004,4,57.41093383
52,Alaska,2004,4,69.56100538999999
53,Arizona,2004,4,54.83020832
54,Arkansas,2004,4,54.365663760000004
55,California,2004,4,59.57339331
56,Colorado,2004,4,67.28072349
57,Connecticut,2004,4,66.17490536
58,Delaware,2004,4,64.53420472
59,District of Columbia,2004,4,54.89905569
60,Florida,2004,4,64.68311971
61,Georgia,2004,4,56.43468921
62,Hawaii,2004,4,48.52642939
63,Idaho,2004,4,64.76557876
64,Illinois,2004,4,62.38408124
65,Indiana,2004,4,55.77257974
66,Iowa,2004,4,70.57938062
67,Kansas,2004,4,62.89561605
68,Kentucky,2004,4,59.41860347
69,Louisiana,2004,4,61.47459345
70,Maine,2004,4,74.86800054
71,Maryland,2004,4,63.092558219999994
72,Massachusetts,2004,4,64.56872611
73,Michigan,2004,4,67.13033028999999
74,Minnesota,2004,4,78.76880792
76,Missouri,2004,4,66.12440683
77,Montana,2004,4,65.23914555
78,Nebraska,2004,4,64.12388943
79,Nevada,2004,4,55.38447501
80,New Hampshire,2004,4,71.48225365
81,New Jersey,2004,4,64.24198965
82,New Mexico,2004,4,60.43973690999999
83,New York,2004,4,58.47254871999999
84,North Carolina,2004,4,58.66220833
85,North Dakota,2004,4,65.4722594
86,Ohio,2004,4,67.90044396
88,Oregon,2004,4,72.58929933
90,Rhode Island,2004,4,58.92916902
91,South Carolina,2004,4,53.246082449999996
92,South Dakota,2004,4,69.38809933
93,Tennessee,2004,4,56.755010920000004
95,Utah,2004,4,59.8305581
96,Vermont,2004,4,66.74823793
97,Virginia,2004,4,61.077519790000004
98,Washington,2004,4,67.48319765000001
99,West Virginia,2004,4,55.11064806
100,Wisconsin,2004,4,75.27644482
101,Wyoming,2004,4,66.28881967
102,Alabama,2008,8,60.95284136
103,Alaska,2008,8,68.27726316
104,Arizona,2008,8,57.36055313
105,Arkansas,2008,8,52.9048839
106,California,2008,8,61.73516848
107,Colorado,2008,8,71.60110424
109,Delaware,2008,8,65.83285578
110,District of Columbia,2008,8,61.69486275
111,Florida,2008,8,66.63097511000001
112,Georgia,2008,8,62.73138007
113,Hawaii,2008,8,49.03560711
114,Idaho,2008,8,64.84317322000001
115,Illinois,2008,8,64.25649494
116,Indiana,2008,8,60.30463233
117,Iowa,2008,8,69.65688279
118,Kansas,2008,8,63.47193611
119,Kentucky,2008,8,58.9532736
120,Louisiana,2008,8,61.75855342
121,Maine,2008,8,71.84190566000001
122,Maryland,2008,8,67.81721411
123,Massachusetts,2008,8,67.27287509
124,Michigan,2008,8,69.70152342
125,Minnesota,2008,8,78.10256937
127,Missouri,2008,8,68.17920072
128,Montana,2008,8,67.07514831
129,Nebraska,2008,8,63.69427301
130,Nevada,2008,8,57.16650626999999
131,New Hampshire,2008,8,72.52813370999999
132,New Jersey,2008,8,67.69153852999999
133,New Mexico,2008,8,61.15861324
134,New York,2008,8,59.63191355000001
135,North Carolina,2008,8,66.13565113
136,North Dakota,2008,8,63.62067668
137,Ohio,2008,8,67.82242946
138,Oklahoma,2008,8,56.30492062
139,Oregon,2008,8,68.33435358
140,Pennsylvania,2008,8,64.19321455
141,Rhode Island,2008,8,62.26074111
142,South Carolina,2008,8,58.203787080000005
143,South Dakota,2008,8,65.58928088
144,Tennessee,2008,8,57.37733586
146,Utah,2008,8,57.11891999000001
147,Vermont,2008,8,67.71029073
148,Virginia,2008,8,67.55677118999999
149,Washington,2008,8,67.34218882
150,West Virginia,2008,8,51.15149964
151,Wisconsin,2008,8,72.73255427000001
152,Wyoming,2008,8,63.104463040000006
154,Alaska,2012,12,58.94855723
155,Arizona,2012,12,52.95423779
156,Arkansas,2012,12,51.11972574
157,California,2012,12,55.74803171
158,Colorado,2012,12,70.62742409
159,Connecticut,2012,12,61.365160929999995
161,District of Columbia,2012,12,61.61329363
162,Florida,2012,12,63.26956603
163,Georgia,2012,12,59.324778970000004
164,Hawaii,2012,12,44.47635675
165,Idaho,2012,12,61.04855187
166,Illinois,2012,12,59.32876907
167,Indiana,2012,12,56.00851767
168,Iowa,2012,12,70.60963305
169,Kansas,2012,12,58.24489852
170,Kentucky,2012,12,56.23223817
171,Louisiana,2012,12,60.832594019999995
172,Maine,2012,12,69.2879978
173,Maryland,2012,12,67.28206789
174,Massachusetts,2012,12,66.20397428
175,Michigan,2012,12,65.37509615
176,Minnesota,2012,12,76.41344335
179,Montana,2012,12,63.52243323
180,Nebraska,2012,12,61.070380400000005
181,Nevada,2012,12,56.45094390999999
182,New Hampshire,2012,12,70.91827673
183,New Jersey,2012,12,62.24272927
184,New Mexico,2012,12,54.757885019999996
185,New York,2012,12,53.50341302
186,North Carolina,2012,12,65.37878633000001
187,North Dakota,2012,12,60.383111629999995
188,Ohio,2012,12,65.11851847999999
190,Oregon,2012,12,64.19048546
193,South Carolina,2012,12,56.8284503
194,South Dakota,2012,12,60.05805705
195,Tennessee,2012,12,52.35829854000001
197,Utah,2012,12,56.11542655
198,Vermont,2012,12,61.17157017
199,Virginia,2012,12,66.63927868
200,Washington,2012,12,65.80048776000001
202,Wisconsin,2012,12,73.26785243
203,Wyoming,2012,12,58.968768080000004
204,Alabama,2016,16,59.124320149999996
205,Alaska,2016,16,61.4662154
206,Arizona,2016,16,56.14605374
207,Arkansas,2016,16,53.164506089999996
208,California,2016,16,58.19796769
209,Colorado,2016,16,71.94073075
210,Connecticut,2016,16,64.89005370999999
211,Delaware,2016,16,64.36535014
212,District of Columbia,2016,16,60.66496134
213,Florida,2016,16,65.61499687999999
214,Georgia,2016,16,59.84809115
215,Hawaii,2016,16,43.21071027
216,Idaho,2016,16,60.90180388
217,Illinois,2016,16,63.05886087
218,Indiana,2016,16,57.890978790000005
219,Iowa,2016,16,69.0996777
220,Kansas,2016,16,59.67147430000001
221,Kentucky,2016,16,59.56565583
222,Louisiana,2016,16,60.557552439999995
223,Maine,2016,16,72.93201256
224,Maryland,2016,16,67.00666600000001
225,Massachusetts,2016,16,68.28581002
226,Michigan,2016,16,65.6901141
227,Minnesota,2016,16,74.70749048
229,Missouri,2016,16,62.23097993
230,Montana,2016,16,64.27118433
231,Nebraska,2016,16,64.0392582
232,Nevada,2016,16,57.37339205000001
233,New Hampshire,2016,16,72.48308632
234,New Jersey,2016,16,65.80527719
235,New Mexico,2016,16,54.90165686
236,New York,2016,16,57.236929
237,North Carolina,2016,16,64.87098744000001
238,North Dakota,2016,16,61.74232466
239,Ohio,2016,16,64.18409332
241,Oregon,2016,16,67.99575686
243,Rhode Island,2016,16,59.74323547
244,South Carolina,2016,16,57.25052524
245,South Dakota,2016,16,60.04613632
246,Tennessee,2016,16,51.844574089999995
247,Texas,2016,16,51.435877659999996
248,Utah,2016,16,57.85318932
249,Vermont,2016,16,64.75768433
251,Washington,2016,16,65.65346222000001
254,Wyoming,2016,16,60.22779637
255,Alabama,2020,20,61.81864881
256,Alaska,2020,20,68.42364345
257,Arizona,2020,20,68.62365101
258,Arkansas,2020,20,56.4741712
259,California,2020,20,68.62115894
260,Colorado,2020,20,77.6017773
261,Connecticut,2020,20,70.70052588
262,Delaware,2020,20,70.14396813
263,District of Columbia,2020,20,65.79688458
264,Florida,2020,20,72.34663401
265,Georgia,2020,20,68.20573936999999
266,Hawaii,2020,20,55.69282227
267,Idaho,2020,20,67.63367923
268,Illinois,2020,20,66.13083565
269,Indiana,2020,20,61.54787631000001
270,Iowa,2020,20,72.87840396
271,Kansas,2020,20,65.66092818
272,Kentucky,2020,20,64.80252732
273,Louisiana,2020,20,64.20452746000001
274,Maine,2020,20,75.75013489
275,Maryland,2020,20,69.88222572000001
276,Massachusetts,2020,20,71.00618421
277,Michigan,2020,20,73.52913191
278,Minnesota,2020,20,79.76189611
279,Mississippi,2020,20,60.370515499999996
280,Missouri,2020,20,65.97795275
281,Montana,2020,20,72.79665462
282,Nebraska,2020,20,69.52822598
283,Nevada,2020,20,66.14807164
284,New Hampshire,2020,20,74.92126128999999
285,New Jersey,2020,20,71.95035354
286,New Mexico,2020,20,61.03098395999999
287,New York,2020,20,61.09621734
288,North Carolina,2020,20,72.78844887
289,North Dakota,2020,20,63.402470990000005
290,Ohio,2020,20,67.03559435000001
291,Oklahoma,2020,20,55.313468320000005
292,Oregon,2020,20,76.22504020999999
293,Pennsylvania,2020,20,70.09649945999999
294,Rhode Island,2020,20,63.13337216
295,South Carolina,2020,20,65.91247960999999
296,South Dakota,2020,20,66.39030503
297,Tennessee,2020,20,59.7321738
298,Texas,2020,20,60.82471779000001
299,Utah,2020,20,69.21562369
300,Vermont,2020,20,72.24219386
301,Virginia,2020,20,72.77108348
302,Washington,2020,20,76.15692319
303,West Virginia,2020,20,57.2400589
304,Wisconsin,2020,20,75.30341475
305,Wyoming,2020,20,65.33856036
